name,latitude,longitude,mndwi
Rama Hydroelectric Power Plant Bosnia and Herzegovina,43.747,17.6758,-0.5091874003410339
Salakovac Hydroelectric Power Plant Bosnia and Herzegovina,43.4478,17.8369,-0.3464395403861999
Trebinje I Hydroelectric Power Plant Bosnia and Herzegovina,42.7338,18.4971,-0.348315417766571
Trebinje II Hydroelectric Power Plant Bosnia and Herzegovina,42.7066,18.3805,-0.3839156329631805
Visegrad Hydroelectric Power Plant Bosnia and Herzegovina,43.7603,19.2891,0.0078567843884229
Aleko Aleko Hydroelectric Power Plant Bulgaria - Aleko Hydroelectric Power Plant Bulgaria,42.1194,24.289,-0.4814174771308899
Alexander Stambolyski Hydro Power Site,43.1213,25.171,0.3317303359508514
Barzia HPP,43.19,23.167,-0.5436994433403015
Batak Batak Hydroelectric Power Plant Bulgaria - Batak Hydroelectric Power Plant Bulgaria,41.91922,24.19305,-0.4709920883178711
Beli Iskar + Mala Tsarkva + Simeonovo HPP,42.1373,23.5691,-0.1238984614610672
Devin Devin Hydroelectric Power Plant Bulgaria - Devin Hydroelectric Power Plant Bulgaria,41.72052,24.42502,-0.40977343916893
HPP Tsankov kamak,41.83225,24.42183,-0.4037815928459167
IVAILOVGRAD,41.5839,26.1075,-0.2183341532945633
KARDZHALI,41.6334,25.3381,-0.4419435560703277
Kalin + Kamenitsa + Pastra + Rila HPP,42.07,23.13,-0.5794581174850464
Klisoura HPP,43.16859,23.15498,-0.4537314474582672
Kokalyane HPP,42.58398,23.42819,-0.4855171740055084
Koprinka HPP (Kaplan),42.6125,25.3198,-0.3209792375564575
Krichim + Vacha I + Vacha II Hydro Power Plant,42.02719,24.47085,-0.4657010734081268
Lilyanovo,41.62674,23.33449,-0.5268857479095459
MOMINA KLISU,42.232,23.9494,-0.4378935694694519
Orphey Orfeus bulgeria HPP_ORFEUS_PUMP - Orfeus Pumped Storage Hydroelectric Power Plant Bulgeria,41.94027778,24.44666667,-0.3502920866012573
PESHTERA,42.0132,24.2574,-0.4713701605796814
PSBELMEKEN,42.1996,23.8586,-0.3729711771011352
PSCHAIRA GEN,42.1603,23.8612,-0.4715525507926941
Pasarel Hydro Power Station,42.5441,23.4861,-0.4806260764598846
Petrohan HPP,43.12,23.12,-0.5034069418907166
Pirin HPP,41.5745,23.5626,-0.5625163316726685
Popina Laka,41.65627,23.3754,-0.515267550945282
SESTRIMO,42.2083,23.9158,-0.4701802134513855
Sandanski I,41.58536,23.2905,-0.4747001528739929
Spanchevo HPP,41.56265,23.56559,-0.502602756023407
Stara Zagora HPP,42.4452,25.6364,-0.1336824148893356
Studen kladenets Studen Kladenets Hydroelectric Power Plant Bulgaria - Studen Kladenets Hydroelectric Power Plant Bulgaria,41.61227,25.64052,-0.4456931054592132
Teshel Teshel Hydroelectric Power Plant Bulgaria - Teshel Hydroelectric Power Plant Bulgaria,41.6428,24.153,-0.2395144999027252
Cakovec Hydroelectric Power Plant Croatia Croatia,46.3113,16.4945,-0.304736316204071
Djale Hydroelectric Power Plant Croatia,43.5745,16.7115,-0.3799022138118744
Dubrava Hydroelectric Power Plant Croatia Croatia,46.3205,16.7489,-0.3440086543560028
Dubrovnik Hydroelectric Power Plant Bosnia and Herzegovina,42.6037,18.2357,-0.4106327593326568
Fužine,45.3049852,14.7148369,-0.383312463760376
Gojak Hydroelectric Power Plant Croatia Croatia,45.2989,15.2633,-0.4666627049446106
Golubic Hydroelectric Power Plant Croatia Croatia,44.09,16.2204,-0.4630791544914245
HE Rijeka,45.33499908,14.45199966,-0.4131494164466858
Hidroelektrana Velebit / Velebit pump,44.2007328,15.6811168,-0.3824717104434967
Jaruga Hydroelectric Power Plant Croatia Croatia,43.805,15.9626,-0.3333539068698883
Kraljevac Hydroelectric Power Plant Croatia,43.4307,16.8849,-0.3913712501525879
Lesce Hydroelectric Power Plant Croatia Croatia,45.3485,15.3452,-0.2534077167510986
Maljacka Hydroelectric Power Plant Croatia Croatia,44.0019,16.0192,-0.5017706751823425
Orlovac Hydroelectric Power Plant Croatia,43.6737,16.784,-0.4345495104789734
