name,latitude,longitude,ndbi
Tammerkoski,61.4991,23.7871,-0.013669371
Tampella ve,61.5037,23.7659,-0.06944596
Tyrvään vesivoimalaitos,61.32861111,22.84694444,0.05507616
Uljua,64.3333,25.85,-0.2826892
Utanen,64.73638889,26.47777778,0.028897125
Vaaja,62.24472222,25.88722222,-0.0988874
Vajukoski,67.69611111,26.80444444,0.0434838
Valajaskoski,66.424004,25.540001,0.051200707
Vanttauskoski,66.36875,26.689583,0.12634332
Verla 1 ja 2,61.06277778,26.63972222,-0.06918667
Voikkaa hydropower plant,60.93833333,26.5975,0.088381946
Vuolenkoski ve,61.07972222,26.1825,0.02219152
 Centrale Hydroéléctrique d'Arrens,42.9474,-0.2179,-0.26606542
Aigle AIGLE 6 - L'Aigle Hydroelectric Generating Station France,45.24373,2.22483,0.21470252
Albaret-le-Comtal,44.8674,3.1442,-0.32334247
Allement Allement Hydroelectric Power Station France - Allement Hydroelectric Power Station France,46.112,5.422,0.108022995
Alrance Alrance Hydroelectric Power Station France - Alrance Hydroelectric Power Station France,44.1035517,2.6946591,0.10987881
Aragnouet,42.7845,0.1782,-0.31122643
Arbéost,42.9795,-0.2738,-0.20965679
Arcambal,44.4548,1.5482,-0.13501275
Argancy,49.1906164,6.1910177,-0.07786325
Argentat Hydroelectric Generating Station - Argentat Hydroelectric Generating Station,45.104,1.954,0.054377355
Argentiere bessee Argentiere-La Bessee Hydroelectric Power Station France - Argentiere-La Bessee Hydroelectric Power Station France,44.79472222,6.55972222,-0.002434666
Argentine,45.4894,6.3328,-0.26254186
Arlos,42.8865,0.7118,-0.11922715
Arreau,42.9143,0.3356,-0.19756138
Artemare,45.8699,5.6901,-0.092666574
Artouste Hydroelectric Power Station France - Artouste Hydroelectric Power Station France,42.887,-0.411,-0.2209044
Arvan,45.25416667,6.32333333,-0.18190835
Arvillard,45.4095,6.1709,-0.35736835
Aston ASTON - Aston Hydroelectric Power Station France,42.77668,1.67671,-0.012429035
Auribeau-sur-Siagne,43.6121,6.9118,-0.24941128
Auterive,43.3594,1.4775,-0.090970285
Auzat,42.76298,1.47771,0.01661513
Auzerette Auzerette Hydroelectric Power Station France - Auzerette Hydroelectric Power Station France,45.365,2.646,-0.060377855
Avignon AVIGNON VILLENEUVE - Avignon  Hydroelectric Power Station France,43.97606,4.81721,0.0797234
Avrieux,45.1776,6.7466,-0.22573557
Badecon-le-Pin/Roche-bat-l'Aigue,46.52972222,1.58138889,-0.16786402
Bagnères-de-Bigorre,42.9745,0.1329,-0.29531178
Baigts-de-Béarn,43.5094649,-0.8416505,-0.02123714
Baix logis neuf BAIX LOGIS NEUF - Logis Neuf Hydroelectric Power Station France,44.67605,4.78827,0.09565835
Banca,43.1001,-1.3716,-0.32786295
Bancairon Bancairon Hydroelectric Power Station France - Bancairon Hydroelectric Power Station France,44.00166667,7.13694444,-0.05864887
Bar,45.34416667,1.82388889,-0.2456192
Beaucens,42.9519,0.0232,0.12519805
Beauchastel BEAUCHASTEL - Beauchastel Hydroelectric Power Station France,44.82397,4.81049,0.07369649
Beaumont Beaumont Hydroelectric Power Station France - Beaumont Hydroelectric Power Station France,43.735,5.753,0.06825636
Beauvoir Beauvoir Hydroelectric Power Station France - Beauvoir Hydroelectric Power Station France,45.121,5.319,-0.113014236
Benagues,43.0775,1.6098,-0.05350564
Bessières,43.797,1.5859,-0.277017
Bessède-de-Sault,42.7854,2.1372,-0.31358728
Beyrède-Jumet,42.9554,0.338,-0.30336347
Bissorte Hydroelectric 1/2/3,45.202,6.585,-0.14180104
Bonnac,43.1723,1.5878,-0.33315772
Bonnevaux,46.2948,6.6664,-0.28701544
Bort BORT 1 - Bort Les Orgues Hydroelectric Power Station France,45.41269,2.49862,0.013850994
Bourg les valence BOURG les VALENCE - Bourg Les Valence Hydroelectric Power Station France,44.96128,4.87221,0.07585146
Bourg-de-Sirod,46.72527778,5.95805556,-0.27125093
Bourg-et-Comin,49.4027,3.6594,-0.33850405
Bouvante,44.93555556,5.257222222,-0.14476769
Bozel,45.4418754,6.6377553,-0.27142516
Brassac,43.612,2.5118,-0.32171193
Bregnier cordon Bregnier-Cordon Hydroelectric Power Station France - Bregnier-Cordon Hydroelectric Power Station France,45.654,5.605,-0.026506329
Brens-Virigin Hydroelectric Power Station France - Brens-Virigin Hydroelectric Power Station France,45.725,5.698,-0.07364564
Briançon/Pont Blady,44.8996,6.649,-0.21331844
Brillanne & Brillanne I & II Hydroelectric Power Station France - Brillanne I & II Hydroelectric Power Station France,43.921,5.925,0.0033282593
Brommat BROMMAT 6/7,44.76793,2.68415,-0.23354346
Brousse-le-Château,44.0062,2.6383,-0.18868847
Bujaleuf,45.8025,1.614444444,-0.17016743
Buzy,43.1411,-0.4466,-0.3412399
Caderousse CADEROUSSE - Caderousse Hydroelectric Power Station France,44.09606,4.72329,0.043906715
Cajarc,44.4939,1.8384,-0.20955454
Calypso,45.235311,6.4399136,-0.22694883
Cambeyrac Cambeyrac Hydroelectric Power Station France - Cambeyrac Hydroelectric Power Station France,44.655,2.574,0.010475553
Campan,42.9617,0.2164,-0.22747293
Capdenac,44.5849,2.066,-0.29471898
Cargiaca,41.7322,9.0412,-0.38843292
Castelnau lassouts Castelnau-Lassouts Hydroelectric Power Station France - Castelnau-Lassouts Hydroelectric Power Station France,44.505,2.874,-0.09653616
Castillon Castillon Hydroelectric Power Station France - Castillon Hydroelectric Power Station France,43.878,6.538,0.14156316
Castillon-en-Couserans,42.9142,1.02833,-0.24119104
Castirla Hydroelectric Power Station France - Castirla Hydroelectric Power Station France,42.38,9.134,-0.17952232
Caussade,44.157,1.5439,-0.15003239
Causse-de-la-Selle,43.7932,3.6295,-0.27933884
Centrale Hydro-Électrique Luz I & 2,42.87024,-0.01209,-0.1487963
Centrale Hydroélectrique de Lau-Balagnas,42.9929,-0.0998,-0.30652064
Centrale Hydroélectrique de Nouaux,42.9842,-0.1428,-0.32492834
Centrale Hydroélectrique de Tucoy,42.90973,-0.25888,-0.2975457
Centrale hydraulique EDF de Golfech - Sud-Ouest,44.1091231,0.8503732,-0.20824502
