name,latitude,longitude,slope_degrees
Spanchevo HPP,41.56265,23.56559,17.69378662109375
Stara Zagora HPP,42.4452,25.6364,2.3926010131835938
Studen kladenets Studen Kladenets Hydroelectric Power Plant Bulgaria - Studen Kladenets Hydroelectric Power Plant Bulgaria,41.61227,25.64052,7.562021732330322
Teshel Teshel Hydroelectric Power Plant Bulgaria - Teshel Hydroelectric Power Plant Bulgaria,41.6428,24.153,11.343182563781738
Cakovec Hydroelectric Power Plant Croatia Croatia,46.3113,16.4945,1.922548770904541
Djale Hydroelectric Power Plant Croatia,43.5745,16.7115,7.14010763168335
Dubrava Hydroelectric Power Plant Croatia Croatia,46.3205,16.7489,1.8985015153884888
Dubrovnik Hydroelectric Power Plant Bosnia and Herzegovina,42.6037,18.2357,16.15730094909668
Fužine,45.3049852,14.7148369,6.42353105545044
Gojak Hydroelectric Power Plant Croatia Croatia,45.2989,15.2633,7.889244556427002
Golubic Hydroelectric Power Plant Croatia Croatia,44.09,16.2204,3.953814744949341
HE Rijeka,45.33499908,14.45199966,12.345162391662598
Hidroelektrana Velebit / Velebit pump,44.2007328,15.6811168,9.088175773620604
Jaruga Hydroelectric Power Plant Croatia Croatia,43.805,15.9626,11.737503051757812
Kraljevac Hydroelectric Power Plant Croatia,43.4307,16.8849,13.5396089553833
Lesce Hydroelectric Power Plant Croatia Croatia,45.3485,15.3452,7.463326454162598
Maljacka Hydroelectric Power Plant Croatia Croatia,44.0019,16.0192,12.980761528015137
Orlovac Hydroelectric Power Plant Croatia,43.6737,16.784,7.814127445220947
Ozalj Hydroelectric Power Plant Croatia Croatia,45.6143,15.4778,4.519171237945557
Peruca Hydroelectric Power Plant Croatia,43.7951,16.5968,5.854912281036377
Senj - Senj Hydroelectric Power System Croatia Croatia,45.009998,14.893,
Senj Hydroelectric Power System Croatia Croatia,44.9429,14.9276,10.369553565979004
Sklope Hydroelectric Power Plant Croatia Croatia,44.6895,15.2706,
Varazdin Hydroelectric Power Plant Croatia Croatia,46.3479,16.2684,1.335168957710266
Vinodol Hydroelectric Power System Croatia Croatia,45.2286,14.6736,9.166804313659668
Zakucac Hydroelectric Power Plant Croatia,43.4581,16.7027,15.612162590026855
?t?chovice I,49.8465,14.4219,11.6931734085083
?t?chovice II,49.8465,14.4219,11.6931734085083
Dale?ice,49.1245,16.1242,8.410001754760742
Dlouhé Strán? I,50.0854,17.1794,12.949198722839355
Hnevkovice,49.180417,14.447083,5.371875286102295
Kamyk republic Kamyk Hydroelectric Power Plant Czech Republic - Kamyk Hydroelectric Power Plant Czech Republic,49.633,14.2468,6.394604206085205
Lipno I,48.6333,14.2375,7.465055465698242
Nechranice,50.36625,13.412917,0.1468637883663177
Orlík,49.6066,14.1816,7.776265621185303
Slapy,49.82354,14.434501,10.956490516662598
Slezska Harta,49.89125,17.579583,3.188572406768799
Strekov republic Strekov Hydroelectric Power Plant Czech Republic - Strekov Hydroelectric Power Plant Czech Republic,50.6386,14.0478,5.03486967086792
Vir I,49.56625,16.30875,7.5553154945373535
Vrane republic Vrane Hydroelectric Power Plant Czech Republic - Vrane Hydroelectric Power Plant Czech Republic,49.9381,14.3749,8.340705871582031
Vranov,48.907917,15.817083,3.268213987350464
Ahvenkoski,60.5,26.5,2.397224187850952
Aittokoski,64.8364584,28.85048,2.553752899169922
Alakoski,62.55,29.25,1.2669116258621216
Anjalankoski,60.69833333,26.81611111,2.9335386753082275
Atro,63.3725,27.98833333,2.115046977996826
Finlayson ve,61.5025,23.75944444,3.944717168807984
Haapakoski,65.3333,25.2833,2.311016082763672
Hamari,64.07555556,24.57944444,2.358971118927002
Hietamankoski,62.59944444,25.575,3.1278975009918213
Hilmonkoski,63.06333333,25.33722222,2.87730073928833
Hinkua,63.70194444,25.35222222,0.4684890210628509
Hirvikoski,62.80944444,23.03583333,2.452484369277954
Imatra Imatra - Imatra Hydroelectric Power Plant Finland,61.166797,28.774695,4.508160591125488
Inkeroinen ve,60.71027778,26.81361111,3.0236544609069824
Isohaara,65.797083,24.549583,1.0353282690048218
Juankoski,63.0675,28.33861111,3.4457507133483887
Jumisko,66.3333,28.15,0.2303218692541122
Juotas,63.5,22.5333,0.8013741374015808
Jylhama,64.57875,26.76625,1.6411851644515991
KAVO Koivukoski III,64.22333333,27.78444444,1.7506483793258667
Kaaranneskoski,66.647,24.4266,2.083955764770508
Kaihua,66.35,26.85,2.1544651985168457
Kaitfors,63.694,23.4009,2.729318380355835
Kaltimo,62.807917,30.179583,1.1853537559509275
Karjalankoski,63.04472222,28.30416667,2.7576277256011963
Katerman vesivoimalaitos,64.09611111,28.97388889,3.2071750164031982
Kattilakoski,63.47,23.30638889,2.394468069076538
Keltti hydropower plant,60.87361111,26.61444444,4.530270099639893
Kelukoski,67.45555556,26.59833333,1.1294931173324585
Kierikki,65.35944444,25.91,2.708349704742432
Killinkoski,62.4,23.8667,0.8412085771560669
Kiltua,63.828,27.8391,2.020474910736084
Kokkosniva,67.22305556,27.32111111,0.949458122253418
Kolsi,61.27333333,22.355,1.9844309091567995
Korkeakoski,60.53138889,26.9075,2.763071298599243
Kuhankoski,62.37583333,25.9475,3.870680570602417
Kuokkastenkoski,63.54111111,28.95361111,2.607418298721313
Kurittukoski,67.85861111,26.71472222,0.987400472164154
Kurkiaska,67.285,26.72861111,1.456162929534912
Kuurna,62.70527778,29.8725,3.3876163959503174
Kuusankoski hydropower plant,60.9075,26.64944444,3.651206970214844
LSV Harjavallan vesivoimalaitos,61.33777778,22.11555556,2.3911914825439453
Leppikoski,64.45555556,27.88722222,1.968372106552124
Leuhunkoski,62.66777778,25.26916667,3.5689523220062256
Lieksankoski,63.3362,30.03768,4.1932291984558105
Maalismaa,65.31083333,25.69361111,2.5347938537597656
Mankala,60.92694444,26.26805556,5.25338888168335
Matarakoski,67.5847,26.7453,1.084717869758606
Melo,61.462083,23.437917,5.237391471862793
Merikoski,65.02166667,25.4825,3.0614206790924072
Montta,64.82055556,26.01388889,2.925055742263794
Myllykosken vesivoimalaitos VVA2,60.76694444,26.77111111,2.317798137664795
Nuojua,64.57722222,26.71361111,3.358615636825561
Oksava,63.75,25.3333,1.907328963279724
Ossauskoski,66.155998,25.125,1.819179654121399
Pahkakoski,65.35833333,26.03833333,2.415958881378174
Palokki,62.56194444,28.625,3.9652860164642334
Pamilo Heinajoki,62.807917,30.529583,1.758257269859314
Pankakoski,63.32638889,30.13805556,3.2487809658050537
Peltokoski,62.42,30.43916667,4.234072208404541
Permantokoski,66.4925,26.12722222,2.720867395401001
Petajaskoski / Petäjäskoski,66.27222222,25.3375,2.1936192512512207
Pirttikoski,66.33972222,27.15361111,3.588047742843628
Portimokoski,66.37861111,23.78416667,1.9254392385482788
Porttipahta,68.10875,26.722083,0.3996478021144867
Puntarikoski,62.825417,29.475417,0.907309591770172
Pyhäkoski,64.84611111,26.04027778,2.603912115097046
Pälli,64.84333333,26.19388889,2.573303937911988
Raasakka,65.33444444,25.41166667,2.639061212539673
Ruskeakoski,62.42694444,30.4425,5.1773529052734375
Seitakorva,66.40583333,27.33027778,3.061943769454956
Seitenoikea,64.59222222,28.41611111,2.454136610031128
Tainionkoski Tainionkoski Hydroelectric Power Plant Finland - Tainionkoski Hydroelectric Power Plant Finland,61.210576,28.782635,3.30783486366272
Taivalkoski,65.931,24.714001,1.4524531364440918
Tammerkoski,61.4991,23.7871,2.567748546600342
Tampella ve,61.5037,23.7659,3.7461109161376953
Tyrvään vesivoimalaitos,61.32861111,22.84694444,2.935863971710205
Uljua,64.3333,25.85,1.588120937347412
Utanen,64.73638889,26.47777778,2.935504674911499
Vaaja,62.24472222,25.88722222,3.351715564727783
Vajukoski,67.69611111,26.80444444,1.4313268661499023
Valajaskoski,66.424004,25.540001,1.7824277877807615
Vanttauskoski,66.36875,26.689583,2.679330825805664
Verla 1 ja 2,61.06277778,26.63972222,4.595915794372559
Voikkaa hydropower plant,60.93833333,26.5975,4.0784783363342285
Vuolenkoski ve,61.07972222,26.1825,3.638899326324463
 Centrale Hydroéléctrique d'Arrens,42.9474,-0.2179,10.982635498046877
Aigle AIGLE 6 - L'Aigle Hydroelectric Generating Station France,45.24373,2.22483,17.13833999633789
Albaret-le-Comtal,44.8674,3.1442,5.54735803604126
Allement Allement Hydroelectric Power Station France - Allement Hydroelectric Power Station France,46.112,5.422,7.1733903884887695
Alrance Alrance Hydroelectric Power Station France - Alrance Hydroelectric Power Station France,44.1035517,2.6946591,1.2567557096481323
Aragnouet,42.7845,0.1782,17.79787254333496
Arbéost,42.9795,-0.2738,13.881699562072754
Arcambal,44.4548,1.5482,6.297688484191895
Argancy,49.1906164,6.1910177,1.894060730934143
Argentat Hydroelectric Generating Station - Argentat Hydroelectric Generating Station,45.104,1.954,9.99038791656494
Argentiere bessee Argentiere-La Bessee Hydroelectric Power Station France - Argentiere-La Bessee Hydroelectric Power Station France,44.79472222,6.55972222,6.175527572631836
Argentine,45.4894,6.3328,28.80021858215332
Arlos,42.8865,0.7118,10.247854232788086
Arreau,42.9143,0.3356,16.523975372314453
Artemare,45.8699,5.6901,3.149275064468384
Artouste Hydroelectric Power Station France - Artouste Hydroelectric Power Station France,42.887,-0.411,27.20465660095215
Arvan,45.25416667,6.32333333,11.877655982971191
Arvillard,45.4095,6.1709,19.227224349975582
Aston ASTON - Aston Hydroelectric Power Station France,42.77668,1.67671,9.40410327911377
Auribeau-sur-Siagne,43.6121,6.9118,7.063179016113281
Auterive,43.3594,1.4775,2.3515546321868896
Auzat,42.76298,1.47771,7.347584247589111
Auzerette Auzerette Hydroelectric Power Station France - Auzerette Hydroelectric Power Station France,45.365,2.646,16.526004791259766
Avignon AVIGNON VILLENEUVE - Avignon  Hydroelectric Power Station France,43.97606,4.81721,2.5123820304870605
Avrieux,45.1776,6.7466,15.989659309387209
Badecon-le-Pin/Roche-bat-l'Aigue,46.52972222,1.58138889,8.915382385253906
Bagnères-de-Bigorre,42.9745,0.1329,20.77663993835449
Baigts-de-Béarn,43.5094649,-0.8416505,2.894580364227295
Baix logis neuf BAIX LOGIS NEUF - Logis Neuf Hydroelectric Power Station France,44.67605,4.78827,1.9058681726455688
Banca,43.1001,-1.3716,13.728875160217283
Bancairon Bancairon Hydroelectric Power Station France - Bancairon Hydroelectric Power Station France,44.00166667,7.13694444,19.58697891235352
Bar,45.34416667,1.82388889,11.426413536071776
Beaucens,42.9519,0.0232,10.693011283874512
Beauchastel BEAUCHASTEL - Beauchastel Hydroelectric Power Station France,44.82397,4.81049,1.7409347295761108
Beaumont Beaumont Hydroelectric Power Station France - Beaumont Hydroelectric Power Station France,43.735,5.753,1.8534727096557613
Beauvoir Beauvoir Hydroelectric Power Station France - Beauvoir Hydroelectric Power Station France,45.121,5.319,6.130258560180664
Benagues,43.0775,1.6098,5.428651332855225
Bessières,43.797,1.5859,1.0749331712722778
Bessède-de-Sault,42.7854,2.1372,16.82901382446289
Beyrède-Jumet,42.9554,0.338,20.175586700439453
Bissorte Hydroelectric 1/2/3,45.202,6.585,17.079254150390625
Bonnac,43.1723,1.5878,9.992596626281738
Bonnevaux,46.2948,6.6664,11.321232795715332
Bort BORT 1 - Bort Les Orgues Hydroelectric Power Station France,45.41269,2.49862,11.28641414642334
Bourg les valence BOURG les VALENCE - Bourg Les Valence Hydroelectric Power Station France,44.96128,4.87221,1.991287112236023
Bourg-de-Sirod,46.72527778,5.95805556,10.367443084716797
Bourg-et-Comin,49.4027,3.6594,5.678863048553467
Bouvante,44.93555556,5.257222222,16.662399291992188
Bozel,45.4418754,6.6377553,14.64466381072998
Brassac,43.612,2.5118,13.504467010498049
Bregnier cordon Bregnier-Cordon Hydroelectric Power Station France - Bregnier-Cordon Hydroelectric Power Station France,45.654,5.605,3.06508469581604
Brens-Virigin Hydroelectric Power Station France - Brens-Virigin Hydroelectric Power Station France,45.725,5.698,2.946920871734619
Briançon/Pont Blady,44.8996,6.649,14.842827796936035
Brillanne & Brillanne I & II Hydroelectric Power Station France - Brillanne I & II Hydroelectric Power Station France,43.921,5.925,7.034865856170654
Brommat BROMMAT 6/7,44.76793,2.68415,17.660369873046875
Brousse-le-Château,44.0062,2.6383,9.715717315673828
Bujaleuf,45.8025,1.614444444,7.915683746337891
Buzy,43.1411,-0.4466,2.997566699981689
Caderousse CADEROUSSE - Caderousse Hydroelectric Power Station France,44.09606,4.72329,2.281276226043701
Cajarc,44.4939,1.8384,8.158435821533203
