name,latitude,longitude,discharge
Cargiaca,41.7322,9.0412,0.804
Castelnau lassouts Castelnau-Lassouts Hydroelectric Power Station France - Castelnau-Lassouts Hydroelectric Power Station France,44.505,2.874,25.156
Castillon Castillon Hydroelectric Power Station France - Castillon Hydroelectric Power Station France,43.878,6.538,8.397
Castillon-en-Couserans,42.9142,1.02833,2.943
Castirla Hydroelectric Power Station France - Castirla Hydroelectric Power Station France,42.38,9.134,4.481
Caussade,44.157,1.5439,0.337
Causse-de-la-Selle,43.7932,3.6295,0.197
Centrale Hydro-Électrique Luz I & 2,42.87024,-0.01209,3.993
Centrale Hydroélectrique de Lau-Balagnas,42.9929,-0.0998,3.237
Centrale Hydroélectrique de Nouaux,42.9842,-0.1428,3.237
Centrale Hydroélectrique de Tucoy,42.90973,-0.25888,0.744
Centrale hydraulique EDF de Golfech - Sud-Ouest,44.109123,0.850373,355.411
Champcella Champcella Hydroelectric Power Station France - Champcella Hydroelectric Power Station France,44.737,6.575,1.658
Champsanglard,46.2801,1.8891,11.209
Charritte-de-Bas,43.2951,-0.897,0.38
Chartrettes,48.4943,2.7131,187.951
Chastang CHASTANG (LE) 1 - Chastang Hydroelectric Generating Station France,45.15185,2.00985,105.404
Chaudanne Chaudanne Hydroelectric Power Station France - Chaudanne Hydroelectric Power Station France,43.848,6.544,8.849
Chautagne Chautagne Hydroelectric Power Station France - Chautagne Hydroelectric Power Station France,45.879,5.811,401.989
Cheylas CHEYLAS 1 - Cheylas (Le) Hydroelectric Power Station France,45.3846,6.00207,80.252
Château-Chinon (Campagne),47.0563,3.9403,0.807
Châtel-Montagne,46.1002,3.7168,0.145
Châtellerault,46.8153,0.5526,111.499
Châtelus-le-Marcheix,46.0068,1.6256,8.192
Cierp-Gaud,42.9129,0.6341,6.063
Cize bolozon Cize Bolozon Hydroelectric Power Station France - Cize Bolozon Hydroelectric Power Station France,46.211,5.465,89.513
Claux Claux Hydroelectric Power Station France - Claux Hydroelectric Power Station France,44.876,6.48,1.409
Coiselet Coiselet Hydroelectric Power Station France - Coiselet Hydroelectric Power Station France,46.294,5.592,69.573
Combe d'avrieux COMBE DAVRIEUX 1 - Aussois + Combe d'Avrieux Hydroelectric Power Station France,45.21348,6.72053,12.369
Cornimont,47.9686,6.8651,0.486
Couesque COUESQUE - Couesque Hydroelectric Power Station France,44.69609,2.58555,41.676
Curbans CURBANS - Curbans Hydroelectric Power Station France,44.42078,6.02016,58.141
Cusset jonage Cusset-Jonage Hydroelectric Power Station France - Cusset-Jonage Hydroelectric Power Station France,45.79,5.025,0.519
DONZERE MONDRAGON - Bollene Hydroelectric Power Station France,44.304001,4.742,2.754
Domène,45.2044,5.8371,0.758
Egets Egets Hydroelectric Power Station France - Egets Hydroelectric Power Station France,42.955,0.565,0.606
Eguzon Eguzon Hydroelectric Power Station France - Eguzon Hydroelectric Power Station France,46.455,1.613,24.045
Enchanet Enchanet Hydroelectric Power Station France - Enchanet Hydroelectric Power Station France,45.082,2.194,11.146
Entraygues-sur-Truyère,44.6548,2.5787,51.116
Eygliers Eygliers Hydroelectric Power Station France - Eygliers Hydroelectric Power Station France,44.672,6.65,8.645
Eymoutiers,45.7111,1.7405,5.425
Faux-la-Montagne,45.7431,1.9351,0.528
Felletin,45.8905,2.1825,2.444
Fessenheim FESSENHEIM - Fessenheim Hydroelectric Power Station France,47.91466,7.57067,1074.628
Foix,42.9654,1.6102,13.322
Fontan,44.0215,7.5448,0.39
Fontpédrouse,42.463,2.1949,0.349
Fos,42.8607,0.7473,9.317
Fumel,44.5079,0.9804,137.38
Gaillac,43.9165,1.8862,0.154
Gambsheim,48.682,7.919,1217.18
Gargilesse-Dampierre,46.5061,1.6202,0.102
Genissiat GENISSIAT - Genissiat Hydroelectric Power Station France,46.05271,5.81285,356.767
Germ,42.7767,0.4407,0.176
Gerstheim GERSTHEIM - Gerstheim Hydroelectric Power Station France,48.40385,7.72775,0.118
Gervans Gervans Hydroelectric Power Station France - Gervans Hydroelectric Power Station France,45.136,4.806,1148.96
Gignac,43.663611,3.557222,0.589
Giuncaggio,42.1921,9.3824,11.584
