name,latitude,longitude,ndvi,discharge,ndwi,precipitation,slope_degrees,ndbi,mndwi,label
Beaumont Beaumont Hydroelectric Power Station France - Beaumont Hydroelectric Power Station France,43.735,5.753,0.2670462727546692,142.536,-0.26305464,2.5060109289617487,1.8534727096557613,,,1
Beauvoir Beauvoir Hydroelectric Power Station France - Beauvoir Hydroelectric Power Station France,45.121,5.319,0.379559189081192,160.217,-0.08892627,3.1445355191256845,6.130258560180664,,,1
Befring,61.609102,6.635326,0.5468656420707703,1.385,,7.975136612021859,7.884780406951904,,,1
Begna,60.202559,10.249582,0.6015318036079407,95.013,,2.749453551912568,4.57907247543335,,,1
Bele,63.017618,8.527644,0.7190505862236023,0.297,,5.566120218579234,9.968850135803224,,,1
Bele 1/2,42.069036,20.460067,0.2445775866508484,9.34,-0.26179034,2.948087431693989,7.226442813873291,0.00078614504,-0.26628995,1
Beli Iskar + Mala Tsarkva + Simeonovo HPP,42.1373,23.5691,0.2819616794586181,0.778,-0.2155133,2.9117486338797827,8.280326843261719,,,1
Belomorskaya HPP,64.5126,34.6901,0.4726397395133972,303.078,,1.901912568306012,3.1220107,,,1
Belorechenskaya HPP,44.8922,39.6479,0.6187087893486023,37.667,,1.904098360655738,4.5263863,,,1
Belver,39.4795,-7.9979,0.206314131617546,308.299,,2.3480874316939904,5.5251327,,,1
Bemposta,41.3009,-6.4699,-0.0107481554150581,277.721,,1.763661202185793,11.167673,,,1
Benagues,43.0775,1.6098,0.5032731890678406,15.537,-0.5143133,3.2844262295081963,5.428651332855225,,,1
Beresti,46.187083,27.18375,-0.1382255107164383,167.673,,1.610109289617487,0.88956857,,,1
Bergeforsen Bergeforsen Hydroelectric Power Station Sweden - Bergeforsen Hydroelectric Power Station Sweden,62.519356,17.385088,0.0620011538267135,461.846,,2.0603825136612026,3.1707222,,,1
Bergerfoss,60.227748,10.376135,0.3602712452411651,62.476,,2.749453551912568,7.0212507247924805,,,1
Bergheim,48.750807,11.273237,0.2068017274141311,314.839,,2.4437158469945364,3.2802867889404297,,,1
Bergkristall Stieber,46.827532,11.169127,0.4570665061473846,3.582,,3.774043715846994,15.748455047607422,,,1
Bergsbotn,69.433207,17.483038,0.3487460315227508,0.139,,4.03743169398907,2.663362979888916,,,1
Bergselva,69.299368,19.985893,0.5103612542152405,0.306,,4.481420765027323,9.947296142578123,,,1
Bergstø,59.906073,6.497474,0.5462478399276733,1.556,,7.323224043715841,12.581321716308594,,,1
Bergvattnet,64.55,15.2333,0.6035595536231995,0.549,,2.971584699453553,4.630302,,,1
Bergvik,61.2667,16.85,0.6082438230514526,1.547,,1.6325136612021869,3.119235,,,1
Berild,62.447595,7.487445,0.5895639657974243,2.788,,6.764207650273229,6.643155574798584,,,1
Berke Dam,37.3731,36.4615,-0.176127091050148,158.493,,3.925683060109289,25.535389,,,1
Berlifoss,58.945844,8.482479,0.5204723477363586,26.598,,4.07814207650273,6.4693379402160645,,,1
Bertoldsheim,48.735932,11.020923,0.2429988831281662,313.199,,2.45983606557377,2.784057378768921,,,1
Besenova - Bešeňová,49.095383,19.455563,-0.0428008697926998,27.014,,2.267213114754099,0.69277257,,,1
Bessières,43.797,1.5859,0.7028322219848633,137.803,-0.6688897,2.491803278688525,1.0749331712722778,,,1
Bessède-de-Sault,42.7854,2.1372,0.803579568862915,5.211,-0.7201521,2.327868852459016,16.82901382446289,,,1
Beverce robertville Beverce (Robertville) Hydroelectric Power Project Belgium - Beverce (Robertville) Hydroelectric Power Project Belgium,50.4387,6.0386,0.5524897575378418,1.995,-0.48126313,3.862295081967212,9.28524684906006,,,1
Beyrède-Jumet,42.9554,0.338,0.8422199487686157,0.201,-0.7526529,3.934699453551912,20.175586700439453,,,1
Beznau,47.557805,8.237141,0.1830648928880691,0.139,,3.364207650273226,4.6322227,,,1
Beznau-Wehrkraftwerk,47.5525,8.2286,0.1454787850379943,520.665,,3.364207650273226,5.16931,,,1
Biasca,46.334989,8.98265,0.7532827854156494,39.964,,5.641530054644806,20.47189,,,1
Bielkowo Bielkowo Hydroelectric Power Plant Poland - Bielkowo Hydroelectric Power Plant Poland,54.2696,18.51,0.688844621181488,5.067,,2.04016393442623,3.2997124,,,1
Bigge,51.093173,7.86272,0.0746303498744964,3.143,,4.101092896174866,1.6228675842285156,,,1
Bingsfoss,59.989971,11.264708,0.3489484786987304,601.239,,2.6357923497267777,3.3785269260406494,,,1
Birecik Dam,37.0542,37.8901,0.0344525948166847,730.71,,1.021857923497268,2.8242738,,,1
Birsfelden,47.559861,7.626365,0.3022885322570801,1031.388,,3.636612021857923,2.3832884,,,1
Bischofshofen,47.407,13.2205,0.20729561150074,59.746,-0.11669774,4.19207650273224,5.091367244720459,,,1
Bishnica 1/2,39.9169,20.1374,0.5962120890617371,2.22,-0.56228507,4.091256830601092,12.60841941833496,-0.16523579,-0.4636057,1
Bisisthal,46.946622,8.827998,0.6622482538223267,0.185,,5.661475409836067,14.174934,,,1
Bissorte Hydroelectric 1/2/3,45.202,6.585,0.4420814514160156,14.255,-0.42225465,3.6969945355191247,17.079254150390625,,,1
Bistrica 1,39.9116,20.1047,0.5327504277229309,2.731,-0.53326076,4.091256830601092,3.6164917945861816,-0.06187804,-0.49258676,1
Bistrica Hydroelectric Power Plant Serbia - Bistrica Hydroelectric Power Plant Serbia,43.5223,19.742,0.1918875426054,13.441,,1.8896174863387984,9.120431,,,1
Bitsch,46.333646,8.007599,0.4554288983345032,31.513,,3.942349726775957,15.702312,,,1
Bittenbrunn,48.734459,11.14382,0.3541595041751861,314.673,,2.4275956284153013,5.164350986480713,,,1
Bjelland,58.405782,7.523531,0.7398161292076111,0.334,,5.208196721311475,8.413262367248535,,,1
Bjerka,66.062707,13.997822,0.6309717297554016,3.699,,6.2882513661202175,10.092731475830078,,,1
Bjordalen,59.674243,8.558921,0.6212779879570007,0.613,,4.349180327868849,6.13127326965332,,,1
Bjorna,63.5667,18.55,0.6717773675918579,35.748,,2.3142076502732247,3.9320023,,,1
Bjurfors nedre krv,64.1023,19.5671,0.1715634167194366,240.622,,2.2213114754098355,2.133619,,,1
Bjølvo,60.440065,6.406111,0.6581260561943054,0.572,,9.050546448087427,22.8280086517334,,,1
